# fda47bce-dcbd-498d-922a-dc4f18104444
# 8cb00c5b1a82cc03112e084fb65a3a1538d8a96d
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -5.1573433; 1.8602431; 1.2005538; 0.0341557; 6.0000000; 0.0000000
0.4998233; -5.6248233; 2.0371772; 1.2172777; 0.0327588; 6.0000000; 0.0000000
0.9996466; -6.0950898; 2.2064165; 1.2333003; 0.0313541; 6.0000000; 0.0000000
1.4994700; -6.5679699; 2.3682810; 1.2485703; 0.0297483; 6.0000000; 0.0000000
1.9992933; -7.0432100; 2.5230983; 1.2630388; 0.0281414; 6.0000000; 0.0000000
2.4991166; -7.5205697; 2.6712203; 1.2766564; 0.0263495; 6.0000000; 0.0000000
2.9989399; -7.9998528; 2.8130468; 1.2893797; 0.0245545; 6.0000000; 0.0000000
3.4987633; -8.4808267; 2.9489834; 1.3011618; 0.0225917; 6.0000000; 0.0000000
3.9985866; -8.9633169; 3.0794835; 1.3119639; 0.0206280; 6.0000000; 0.0000000
4.4984099; -9.4471181; 3.2050027; 1.3217655; 0.0185925; 6.0000000; 0.0000000
4.9982332; -9.9320710; 3.3260220; 1.3305505; 0.0165713; 6.0000000; 0.0000000
5.4980566; -10.4180092; 3.4430146; 1.3383670; 0.0147058; 6.0000000; 0.0000000
5.9978799; -10.9047928; 3.5564319; 1.3452572; 0.0131148; 6.0000000; 0.0000000
6.4977032; -11.3923337; 3.6665586; 1.3521360; 0.0144103; 6.0000000; 0.0000000
6.9975265; -11.8806522; 3.7731700; 1.3596768; 0.0162797; 6.0000000; 0.0000000
7.4973499; -12.3698633; 3.8756370; 1.3695605; 0.0232696; 6.0000000; 0.0000000
7.9971732; -12.8602226; 3.9724052; 1.3829400; 0.0303091; 6.0000000; 0.0000000
8.4969965; -13.3520113; 4.0617251; 1.3999425; 0.0377271; 6.0000000; 0.0000000
8.9968198; -13.8453660; 4.1417506; 1.4206567; 0.0451605; 6.0000000; 0.0000000
9.4966431; -14.3404405; 4.2106252; 1.4450930; 0.0526232; 6.0000000; 0.0000000
9.9964665; -14.8370896; 4.2664476; 1.4732687; 0.0601535; 6.0000000; 0.0000000
10.4962898; -15.3352402; 4.3073121; 1.5052723; 0.0679146; 6.0000000; 0.0000000
10.9961131; -15.8344355; 4.3312430; 1.5411679; 0.0757727; 6.0000000; -0.5641049
11.4959364; -16.3342091; 4.3362446; 1.5810982; 0.0840308; 5.9528224; -1.9048592
11.9957598; -16.8337143; 4.3202565; 1.6251841; 0.0923668; 5.7906742; -1.8062531
12.4955831; -17.3319283; 4.2812357; 1.6734289; 0.1007281; 5.6326098; -1.7186663
12.9954064; -17.8275700; 4.2171872; 1.7259006; 0.1094103; 5.4779772; -1.6167132
13.4952297; -18.3188510; 4.1261374; 1.7830142; 0.1192255; 5.3284231; -1.5230984
