lat,lon,,x_utm,y_utm,,x_local,y_local
40.437697,-86.944444,,504711.8264,4476340.628,,0,0
40.437625,-86.944281,,504725.6558,4476332.645,,13.82942984,-7.98319524
40.437586,-86.944202,,504732.3587,4476328.32,,20.53233532,-12.30791313
40.43753,-86.944078,,504742.8794,4476322.111,,31.05300066,-18.51718678
40.437523,-86.944041,,504746.018,4476321.336,,34.19155208,-19.29219002
40.437526,-86.944006,,504748.9862,4476321.671,,37.1597757,-18.95731304
40.437538,-86.943971,,504751.9538,4476323.005,,40.12736541,-17.62344709
40.437576,-86.943917,,504756.531,4476327.225,,44.70455713,-13.40259231
40.437615,-86.943862,,504761.1929,4476331.557,,49.36648546,-9.07068215
40.437655,-86.943807,,504765.8547,4476336,,54.02833779,-4.62777041
40.437685,-86.943766,,504769.3299,4476339.332,,57.50352035,-1.29559817
40.437717,-86.943754,,504770.3454,4476342.885,,58.51900528,2.2570065
40.43775,-86.943753,,504770.4279,4476346.548,,58.60148508,5.92001587
40.437831,-86.943754,,504770.3374,4476355.539,,58.5109481,14.9108524
40.437965,-86.943756,,504770.1583,4476370.413,,58.33185362,29.7845636
40.438179,-86.943758,,504769.9735,4476394.166,,58.14710599,53.53816756
40.438278,-86.943758,,504769.9665,4476405.155,,58.14010939,64.52703461
40.438315,-86.943765,,504769.3702,4476409.262,,57.54381453,68.633607
40.438344,-86.943786,,504767.5871,4476412.479,,55.76072612,71.85143448
40.438367,-86.943826,,504764.1931,4476415.03,,52.36664708,74.40224551
40.438374,-86.943869,,504760.5457,4476415.805,,48.71926489,75.17691785
40.438365,-86.943914,,504756.7298,4476414.803,,44.90338841,74.17550571
40.43834,-86.943951,,504753.5935,4476412.027,,41.76712878,71.39854744
40.438304,-86.943969,,504752.0695,4476408.03,,40.24305838,67.40162723
40.438267,-86.943969,,504752.0721,4476403.923,,40.24566346,63.29467688
40.438231,-86.943967,,504752.2442,4476399.927,,40.41782119,59.29883281
40.438207,-86.94398,,504751.1434,4476397.262,,39.31696075,56.63416574
40.438178,-86.944004,,504749.1099,4476394.042,,37.28352384,53.41391411
40.438157,-86.944037,,504746.3126,4476391.709,,34.48621791,51.08116868
40.438136,-86.944079,,504742.752,4476389.376,,30.92560539,48.74794104
40.438109,-86.944117,,504739.5311,4476386.377,,27.70465868,45.74893779
